,Close
2007-12-31 05:00:00,834.9000244140625
2008-01-02 05:00:00,857.0
2008-01-03 05:00:00,850.5966032402368
2008-01-04 05:00:00,845.8049393706353
2008-01-07 05:00:00,843.0071942903464
2008-01-08 05:00:00,847.7230530070185
2008-01-09 05:00:00,843.7157605137826
2008-01-10 05:00:00,847.4251448372755
2008-01-11 05:00:00,842.1981964581072
2008-01-14 05:00:00,828.8048838061894
2008-01-15 05:00:00,828.5290821067348
2008-01-16 05:00:00,823.3165104610383
2008-01-17 05:00:00,840.0933025027182
2008-01-18 05:00:00,853.3215197785338
2008-01-22 05:00:00,869.5218509646642
2008-01-23 05:00:00,851.8047254676663
2008-01-24 05:00:00,850.9525105425824
2008-01-25 05:00:00,850.7544510458397
2008-01-28 05:00:00,865.6408391847972
2008-01-29 05:00:00,885.051134886753
2008-01-30 05:00:00,888.1850608684831
2008-01-31 05:00:00,888.9694519713703
2008-02-01 05:00:00,901.6158191623663
2008-02-04 05:00:00,896.2705803768634
2008-02-05 05:00:00,885.3457329510557
2008-02-06 05:00:00,879.4463980299827
2008-02-07 05:00:00,875.9691209459395
2008-02-08 05:00:00,867.2271051651039
2008-02-11 05:00:00,876.2198509008733
2008-02-12 05:00:00,867.9090944475837
2008-02-13 05:00:00,854.0566792685329
2008-02-14 05:00:00,860.8074710176359
2008-02-15 05:00:00,859.6585773017005
2008-02-19 05:00:00,847.8671130657079
2008-02-20 05:00:00,850.4686673920479
2008-02-21 05:00:00,859.8410053257488
2008-02-22 05:00:00,862.9836060179007
2008-02-25 05:00:00,866.6438490950324
2008-02-26 05:00:00,857.5010448679323
2008-02-27 05:00:00,849.6147728207699
2008-02-28 05:00:00,849.3664859734942
2008-02-29 05:00:00,855.010027250555
2008-03-03 05:00:00,838.772602753558
2008-03-04 05:00:00,858.3342252141498
2008-03-05 05:00:00,857.8362104491662
2008-03-06 05:00:00,938.3771265074915
2008-03-07 05:00:00,937.3183216654659
